Population	Code	Genomes	Exomes	Total
African/African-American	afr	4359	8128	12487
Latino/Admixed American	amr	424	17296	17720
Ashkenazi Jewish	asj	145	5040	5185
East Asian	eas	-780	-9197	-9977
Koreans	kor	0	1909	1909
Japanese	jpn	0	76	76
Other East Asian	oea	780	7212	7992
Finnish	fin	1738	10824	12562
Non-Finnish European	nfe	-7718	-56885	-64603
Bulgarian	bgr	0	1335	1335
Estonian	est	2297	121	2418
North-Western European	nwe	4299	21111	25410
Southern European	seu	53	5752	5805
Swedish	swe	0	13067	13067
Other non-Finnish European	onf	1069	15499	16568
South Asian	sas	0	15308	15308
Other (population not assigned)	oth	544	3070	3614
